"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1348","Проверка ответа на 7-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_7","",""
"","1894","Проверка флоу заказа самоката с двумя разными наборами данных","tests","2026-05-02","passed","2026-05-02","TestOrderScooter","test_order_scooter","",""
"","1289","Проверка ответа на 2-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_2","",""
"","1307","Проверка ответа на 1-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_1","",""
"","1354","Проверка ответа на 6-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_6","",""
"","841","Проверка ответа на 5-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_5","",""
"","1330","Проверка ответа на 3-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_3","",""
"","847","Проверка ответа на 8-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_8","",""
"","1832","Проверка редиректа: клик на логотип Яндекса открывает страницу Дзена","tests","2026-05-02","passed","2026-05-02","","test_yandex_redirect","",""
"","788","Проверка навигации: клик на логотип 'Самокат' возвращает на главную страницу","tests","2026-05-02","passed","2026-05-02","","test_logo_navigation","",""
"","1375","Проверка ответа на 4-й вопрос в Вопросы о важном","tests","2026-05-02","passed","2026-05-02","","test_question_4","",""
"","1963","Проверка флоу заказа самоката с двумя разными наборами данных","tests","2026-05-02","passed","2026-05-02","TestOrderScooter","test_order_scooter","",""
